MemoryType,BlockSize,ElementType,BufferSize,LaunchNum,Timer,WriteTime,AverageWriteTime,WriteBandwidth,AbsError(write),RelError(write),ReadTime,AverageReadTime,ReadBandwidth,AbsError(read),RelError(read)
RAM,100/1Mb,c,1,1,std::chrono::system_clock::now(),0.088562,0.088562,1129.155110,0.000000,0.000000,0.031369,0.031369,3187.889793,0.000000,0.000000
RAM,100/1Mb,c,1,2,std::chrono::system_clock::now(),0.089780,0.089171,1121.442349,0.000609,0.683056,0.033581,0.032475,3079.292616,0.001106,3.406554
RAM,100/1Mb,c,1,3,std::chrono::system_clock::now(),0.089382,0.089241,1120.557017,0.000507,0.568346,0.035611,0.033520,2983.272967,0.001732,5.168003
RAM,100/1Mb,c,1,4,std::chrono::system_clock::now(),0.097857,0.091395,1094.148078,0.003757,4.110238,0.037670,0.034558,2893.712626,0.002341,6.773777
RAM,100/1Mb,c,1,5,std::chrono::system_clock::now(),0.099159,0.092948,1075.870437,0.004575,4.922360,0.036659,0.034978,2858.937551,0.002256,6.450354
RAM,100/1Mb,c,1,6,std::chrono::system_clock::now(),0.097639,0.093730,1066.896638,0.004528,4.830582,0.038009,0.035483,2818.237849,0.002349,6.620083
RAM,100/1Mb,c,1,7,std::chrono::system_clock::now(),0.097115,0.094213,1061.419837,0.004356,4.623559,0.036398,0.035614,2807.898912,0.002198,6.172286
RAM,100/1Mb,c,1,8,std::chrono::system_clock::now(),0.097341,0.094604,1057.034122,0.004204,4.443645,0.036309,0.035701,2801.066075,0.002069,5.795468
RAM,100/1Mb,c,1,9,std::chrono::system_clock::now(),0.098715,0.095061,1051.955742,0.004169,4.385236,0.037317,0.035880,2787.045910,0.002016,5.617973
RAM,100/1Mb,c,1,10,std::chrono::system_clock::now(),0.097769,0.095332,1048.967531,0.004037,4.235009,0.035774,0.035870,2787.870504,0.001913,5.331993
RAM,1/1Mb,c,1,1,std::chrono::system_clock::now(),0.001031,0.001031,969.536203,0.000000,0.000000,0.001218,0.001218,820.738418,0.000000,0.000000
RAM,1/1Mb,c,1,2,std::chrono::system_clock::now(),0.000901,0.000966,1034.892433,0.000065,6.740979,0.000442,0.000830,1204.832342,0.000388,46.798580
RAM,1/1Mb,c,1,3,std::chrono::system_clock::now(),0.000580,0.000837,1194.092110,0.000190,22.663128,0.000493,0.000718,1393.257655,0.000355,49.412873
RAM,1/1Mb,c,1,4,std::chrono::system_clock::now(),0.000478,0.000748,1337.427198,0.000226,30.257373,0.000470,0.000656,1524.880135,0.000325,49.611548
RAM,1/1Mb,c,1,5,std::chrono::system_clock::now(),0.000699,0.000738,1355.148330,0.000203,27.549359,0.000713,0.000667,1498.862963,0.000292,43.750099
RAM,1/1Mb,c,1,6,std::chrono::system_clock::now(),0.000529,0.000703,1422.205029,0.000201,28.618918,0.000491,0.000638,1567.726162,0.000274,43.017817
RAM,1/1Mb,c,1,7,std::chrono::system_clock::now(),0.000617,0.000691,1447.548793,0.000189,27.319100,0.000710,0.000648,1542.633769,0.000255,39.384929
RAM,1/1Mb,c,1,8,std::chrono::system_clock::now(),0.000485,0.000665,1503.551671,0.000189,28.448595,0.000472,0.000626,1596.920180,0.000246,39.257752
RAM,1/1Mb,c,1,9,std::chrono::system_clock::now(),0.000486,0.000645,1550.015647,0.000187,28.999076,0.000458,0.000607,1646.189592,0.000238,39.139720
RAM,1/1Mb,c,1,10,std::chrono::system_clock::now(),0.000529,0.000634,1578.489357,0.000181,28.553192,0.000504,0.000597,1674.739469,0.000228,38.131788
RAM,160/1Kb,c,1,1,std::chrono::system_clock::now(),0.000144,0.000144,1088.470916,0.000000,0.000000,0.000116,0.000116,1346.483631,0.000000,0.000000
RAM,160/1Kb,c,1,2,std::chrono::system_clock::now(),0.000120,0.000132,1185.976258,0.000012,8.958011,0.000080,0.000098,1592.608259,0.000018,18.279066
RAM,160/1Kb,c,1,3,std::chrono::system_clock::now(),0.000075,0.000113,1384.389112,0.000028,25.153033,0.000079,0.000092,1705.848102,0.000017,18.885602
RAM,160/1Kb,c,1,4,std::chrono::system_clock::now(),0.000054,0.000098,1592.571736,0.000035,36.143609,0.000066,0.000085,1836.657929,0.000019,22.056906
RAM,160/1Kb,c,1,5,std::chrono::system_clock::now(),0.000052,0.000089,1757.715386,0.000037,41.269670,0.000057,0.000079,1968.900818,0.000020,25.585964
RAM,160/1Kb,c,1,6,std::chrono::system_clock::now(),0.000041,0.000081,1932.137160,0.000038,46.982255,0.000042,0.000073,2138.638526,0.000023,31.863024
RAM,160/1Kb,c,1,7,std::chrono::system_clock::now(),0.000039,0.000075,2086.683952,0.000038,50.898492,0.000040,0.000068,2286.027798,0.000024,35.766903
RAM,160/1Kb,c,1,8,std::chrono::system_clock::now(),0.000037,0.000070,2228.787736,0.000038,53.951047,0.000043,0.000065,2396.876774,0.000024,37.351542
RAM,160/1Kb,c,1,9,std::chrono::system_clock::now(),0.000038,0.000067,2348.203760,0.000037,55.692331,0.000040,0.000062,2506.237747,0.000024,39.018081
RAM,160/1Kb,c,1,10,std::chrono::system_clock::now(),0.000033,0.000063,2472.400103,0.000037,57.847415,0.000031,0.000059,2638.457824,0.000025,42.060015
RAM,64/1b,c,1,1,std::chrono::system_clock::now(),0.000011,0.000011,5.333842,0.000000,0.000000,0.000001,0.000001,63.314477,0.000000,0.000000
